"article_name","count_numbers","total_words","count_SDG_1","norm_SDG_1","count_SDG_2","norm_SDG_2","count_SDG_3","norm_SDG_3","count_SDG_4","norm_SDG_4","count_SDG_5","norm_SDG_5","count_SDG_6","norm_SDG_6","count_SDG_7","norm_SDG_7","count_SDG_8","norm_SDG_8","count_SDG_9","norm_SDG_9","count_SDG_10","norm_SDG_10","count_SDG_11","norm_SDG_11","count_SDG_12","norm_SDG_12","count_SDG_13","norm_SDG_13","count_SDG_14","norm_SDG_14","count_SDG_15","norm_SDG_15","count_SDG_16","norm_SDG_16","count_SDG_17","norm_SDG_17","count_environmental_keywords","norm_environmental_keywords","count_social_keywords","norm_social_keywords","count_governance_keywords","norm_governance_keywords","Name","Region","Sector","Country","Year","tfidf_numbers","tfidf_SDG_1","tfidf_SDG_2","tfidf_SDG_3","tfidf_SDG_4","tfidf_SDG_5","tfidf_SDG_6","tfidf_SDG_7","tfidf_SDG_8","tfidf_SDG_9","tfidf_SDG_10","tfidf_SDG_11","tfidf_SDG_12","tfidf_SDG_13","tfidf_SDG_14","tfidf_SDG_15","tfidf_SDG_16","tfidf_SDG_17","tfidf_environmental_keywords","tfidf_social_keywords","tfidf_governance_keywords"
"FarabiPetrochemicalsCompany_2014",857,6014,0,0,2,3.3255736614566,33,54.8719654140339,1,1.6627868307283,0,0,23,38.2440971067509,3,4.9883604921849,10,16.627868307283,7,11.6395078150981,0,0,2,3.3255736614566,31,51.5463917525773,15,24.9418024609245,0,0,3,4.9883604921849,13,21.6162287994679,4,6.6511473229132,233,387.429331559694,30,49.883604921849,36,59.8603259062188,"Farabi Petrochemicals Company","Asia","Energy","Saudi Arabia",2014,0,0,12.484614527098,18.3402715508703,1.00259231605007,0,22.178496516242,3.47369112777159,5.19748814939176,4.14374331873245,0,2.79460421822537,9.52752870825419,20.352690431752,0,5.31594844715285,2.64462809147241,3.85712982891165,7.8078293620031,4.04949628642141,7.32358548407744
"FrankeGroup_2015",1008,6438,0,0,0,0,24,37.2786579683131,1,1.55327741534638,3,4.65983224603914,8,12.426219322771,10,15.5327741534638,26,40.3852127990059,13,20.192606399503,7,10.8729419074247,1,1.55327741534638,17,26.4057160608885,3,4.65983224603914,0,0,0,0,51,79.2171481826654,1,1.55327741534638,110,170.860515688102,64,99.4097545821684,48,74.5573159366263,"Franke Group","Europe","Metals Products","Switzerland",2015,0,0,0,12.4599274881453,0.936562626394083,12.5813495770742,7.20620652099245,10.8163914478712,12.6234861291005,7.18870412606268,18.1726454616229,1.30527724203226,4.8806756259432,3.80245667153018,0,0,9.69178746920769,0.900775815124056,3.44333699729445,8.06997474711844,9.12168232396018
"FrankeGroup_2016",976,8157,0,0,2,2.45188181929631,28,34.3263454701483,1,1.22594090964816,3,3.67782272894447,12,14.7112909157779,8,9.80752727718524,27,33.1004045605002,19,23.2928772833149,6,7.35564545788893,0,0,16,19.6150545543705,3,3.67782272894447,0,0,0,0,57,69.8786318499448,1,1.22594090964816,112,137.305381880593,62,76.0083363981856,52,63.7489273017041,"Franke Group","Europe","Metals Products","Switzerland",2016,0,0,9.20466737354021,11.473153777548,0.739192128077125,9.92996549922811,8.53136402761114,6.82956264718838,10.3464230810584,8.29242147950547,12.2939622216076,0,3.6255301103863,3.0011298334328,0,0,8.54927075848548,0.710947002300928,2.76710332666995,6.17027330850958,7.79933472703938
"GasTerra_2015",814,3509,5,14.2490738102023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.84981476204047,0,0,0,0,1,2.84981476204047,0,0,0,0,0,0,2,5.69962952408093,0,0,4,11.3992590481619,8,22.7985180963237,31,88.3442576232545,"GasTerra","Europe","Energy","Netherlands",2015,0,47.6565618624866,0,0,0,0,0,0,0,1.01455328416142,0,0,0.526742823995815,0,0,0,0.697318690054807,0,0.229728268489668,1.85075867134328,10.8084396958495
"Gasum_2017",1764,14267,1,0.700918202845728,8,5.60734562276582,31,21.7284642882176,4,2.80367281138291,3,2.10275460853718,10,7.00918202845728,204,142.987313380528,29,20.3266278825261,18,12.6165276512231,5,3.50459101422864,3,2.10275460853718,72,50.4661106048924,18,12.6165276512231,12,8.41101843414874,5,3.50459101422864,48,33.6440737365949,11,7.71010023130301,333,233.405761547627,53,37.1486647508236,306,214.480970070793,"Gasum","Europe","Energy","Finland",2017,0,2.34424722191723,21.0506684701668,7.26246877476303,1.69049980759097,5.67734832671225,4.06476112551249,99.5705427969754,6.35363508924664,4.49156897274856,5.85744783075471,1.76702352650249,9.32785596109165,10.2951774239762,17.9894710825049,3.73473913707357,4.11616953821095,4.47123723806374,4.70380585521432,3.01568782347733,26.2405808060948
"Gasunie_2014",9737,37028,8,2.16052716862915,0,0,17,4.59112023333693,14,3.780922545101,2,0.540131792157286,5,1.35032948039322,91,24.5759965431565,59,15.9338878686399,84,22.685535270606,2,0.540131792157286,4,1.08026358431457,24,6.48158150588744,18,4.86118612941558,4,1.08026358431457,6,1.62039537647186,76,20.5250081019769,17,4.59112023333693,214,57.7941017608296,174,46.9914659176839,332,89.6618774981095,"Gasunie","Europe","Energy","Netherlands",2014,0,7.22596416011517,0,1.53452480090241,2.27974134822706,1.45833294762889,0.783082356293707,17.1137232928241,4.98056586933153,8.07620362499416,0.902756921263664,0.907785987274894,1.1980170051213,3.96676289045771,2.31046580906429,1.72680749493233,2.51112317082446,2.6624800113986,1.16471946732116,3.81471561699046,10.9696433251805
"GazpromNeft_2010",1247,10590,1,0.944287063267233,1,0.944287063267233,14,13.2200188857413,15,14.1643059490085,0,0,1,0.944287063267233,2,1.88857412653447,15,14.1643059490085,7,6.61000944287063,0,0,0,0,9,8.4985835694051,0,0,3,2.8328611898017,0,0,8,7.55429650613787,7,6.61000944287063,60,56.657223796034,36,33.9943342776204,63,59.4900849858357,"Gazprom Neft","Europe","Energy","Russian Federation",2010,0,3.15820350473023,3.54497033833652,4.41862678769874,8.54049601802423,0,0.547610453047089,1.31512612165051,4.42743537258386,2.35320796212058,0,0,1.57082767937789,0,6.05891841204196,0,0.924227113655266,3.83327317132962,1.14180806534029,2.75962273841795,7.27828852003522
"GEA_2015",16092,56362,4,0.709698023491005,13,2.30651857634576,38,6.74213122316454,1,0.177424505872751,3,0.532273517618253,7,1.24197154110926,18,3.19364110570952,38,6.74213122316454,12,2.12909407047301,0,0,2,0.354849011745502,8,1.41939604698201,6,1.06454703523651,7,1.24197154110926,0,0,82,14.5488094815656,0,0,88,15.6133565168021,191,33.8880806216955,622,110.358042652851,"GEA","Europe","Metals Products","Germany",2015,0,2.37361166140968,8.65895579430802,2.25347345463981,0.106979705984974,1.43711593941315,0.72024347759804,2.22392162546592,2.10743472864128,0.75797185496379,0,0.298192927298666,0.26235272976847,0.868678047312421,2.65632649589363,0,1.77996775521619,0,0.314654605423252,2.75099718327291,13.5017066310301
"GEA_2016",14490,55441,3,0.541115780739886,10,1.80371926913295,40,7.21487707653181,1,0.180371926913295,4,0.721487707653181,12,2.16446312295954,4,0.721487707653181,34,6.13264551505204,23,4.14855431900579,0,0,2,0.36074385382659,2,0.36074385382659,7,1.26260348839307,4,0.721487707653181,0,0,86,15.5119857145434,1,0.180371926913295,82,14.7904980068902,184,33.1884345520463,633,114.175429736116,"GEA","Europe","Metals Products","Germany",2016,0,1.80978202675419,6.77138505492032,2.41148287274398,0.108756880083785,1.9479862334663,1.25521430661828,0.502414661650363,1.91692355266865,1.47691332957226,0,0.303146584087722,0.0666777500189864,1.03029353943339,1.54311661005452,0,1.89780713165887,0.10460119221819,0.298071609993867,2.694200683395,13.9687431900008
"Geberit_2014",1999,12563,2,1.59197643874871,2,1.59197643874871,25,19.8997054843588,11,8.75587041311789,2,1.59197643874871,30,23.8796465812306,17,13.531799729364,52,41.3913874074664,36,28.6555758974767,6,4.77592931624612,5,3.97994109687177,56,44.5753402849638,8,6.36790575499483,0,0,11,8.75587041311789,82,65.271033988697,17,13.531799729364,334,265.860065271034,106,84.3747512536814,84,66.8630104274457,"Geberit","Europe","Construction Materials","Switzerland",2014,0,5.32442491683405,5.97647630072176,6.65122890371522,5.27943103366841,4.29826891545033,13.8482719838462,9.42299433577733,12.9379931066066,10.2015783704853,7.98231710910235,3.34449370540623,8.23904098435673,5.19625695588874,0,9.33087249788929,7.98555620627995,7.84735412417953,5.35785459363809,6.84944968201085,8.18032586984775
